Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
Gahm's Pharmacy,45648,74,231,-51,"10,524","11,130",77.2,"$69,065.00 ","$79,473.00 ",50 Center St,Lucasville,"50 Center St, Lucasville, OH 45648, USA","38.8764074,-82.9975516",45648,ChIJwyxGEUzxRogRZj4km8VtX6g,39145-VALLEY TWP B
HOLBROOK'S HOMETOWN PHARMACY,45648,103,399,-58.6,"10,524","11,130",77.2,"$69,065.00 ","$79,473.00 ",37c W Lucasville-Minford Rd,Lucasville,"37c W Lucasville-Minford Rd, Lucasville, OH 45648, USA","38.876511199999996,-82.9637595",45648,ChIJL0H1lJP2RogR7Lc4rB7yvQg,39145-JEFFERSON A
Kroger Pharmacy,45640,148,417,-46.9,"15,205","16,156",74.4,"$62,813.00 ","$82,398.00 ",530 E Main St,Jackson,"530 E Main St, Jackson, OH 45640, USA","39.0481628,-82.6300862",45640,ChIJP_s7OZ5LRogRCDIz0cD-9yE,39079-JACKSON 3-A
Smith's Pharmacy,45682,84,256,-50.1,"1,767","1,824",75.3,"$44,500.00 ","$64,595.00 ",11016 Main St,South Webster,"11016 Main St, South Webster, OH 45682, USA","38.8136654,-82.7277763",45682,ChIJyUfGPM1cRogRwrR1q2te26k,39145-SOUTH WEBSTER VLG
Walgreens Pharmacy,45640,236,631,-45.2,"15,205","16,156",74.4,"$62,813.00 ","$82,398.00 ",521 E Main St,Jackson,"521 E Main St, Jackson, OH 45640, USA","39.0475706,-82.632289",45640,ChIJv6a0C3ZLRogRori_cotESyE,39079-JACKSON 1-A
"Stultz Pharmacy Of Wheelersburg, Inc.",45694,105,298,-47.3,"12,018","12,596",,"$64,482.00 ","$80,381.00 ",8991 Ohio River Rd,Wheelersburg,"8991 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7151321,-82.8583833",45694,ChIJAQDQKw9hRogRXml7bbhtzp4,39145-PORTER C
Brewster's Hometown Pharmacy,45661,261,628,-40.6,"6,950","7,376",71.4,"$57,250.00 ","$74,021.00 ",104 Thornton Dr,Piketon,"104 Thornton Dr, Piketon, OH 45661, USA","39.061250699999995,-83.01866059999999",45661,ChIJ49nzpoz9RogRNWCsHJv7gW8,39131-PIKETON VLG
SOMC Pharmacy Wheelersburg,45694,105,298,-47.3,"12,018","12,596",,"$64,482.00 ","$80,381.00 ",8770 Ohio River Rd,Wheelersburg,"8770 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7194441,-82.8576207",45694,ChIJPWYrW69hRogR1yWHRDP7e7g,39145-PORTER C
Compass Community Health,45662,129,174,-14.7,"25,143","26,436",65.1,"$37,345.00 ","$57,022.00 ",1634 11th St,Portsmouth,"1634 11th St, Portsmouth, OH 45662, USA","38.738655,-82.98188859999999",45662,ChIJO5tycHeLRogRMN0boNZiI4c,39145-PORTSMOUTH 4-A
Medi-Mart Prescription Pharmacy,45662,120,105,6.6,"25,143","26,436",68.2,"$37,345.00 ","$57,022.00 ",902 4th St,Portsmouth,"902 4th St, Portsmouth, OH 45662, USA","38.7328743,-82.9936855",45662,ChIJX4necn-MRogR1DmF9qkYEp8,39145-PORTSMOUTH 2-C
CVS Pharmacy,45656,79,327,-60.2,"6,121","6,812",74.7,"$57,846.00 ","$79,800.00 ",407 N Front St,Oak Hill,"407 N Front St, Oak Hill, OH 45656, USA","38.898613999999995,-82.5713074",45656,ChIJi9kcwPJHRogRfB_NcxIdW2c,39079-OAK HILL II
SOMC Portsmouth Family Health Center,45662,122,95,12.1,"25,143","26,436",74.4,"$37,345.00 ","$57,022.00 ",1248 Kinneys Ln,Portsmouth,"1248 Kinneys Ln, Portsmouth, OH 45662, USA","38.7460168,-82.98722769999999",45662,ChIJcQKCq2SLRogRwUE_6cOE07I,39145-PORTSMOUTH 3-B
Bostick's Prescription Pharmacy,45661,261,628,-40.6,"6,950","7,376",71.4,"$57,250.00 ","$74,021.00 ",549 S W St,Piketon,"549 S W St, Piketon, OH 45661, USA","39.0635098,-83.017231",45661,ChIJMS1Kpkn8RogRD-t9XvoNzKw,39131-PIKETON VLG
CVS Pharmacy,45640,148,417,-46.9,"15,205","16,156",74.4,"$62,813.00 ","$82,398.00 ",353 Main St,Jackson,"353 Main St, Jackson, OH 45640, USA","39.0496992,-82.63459379999999",45640,ChIJOQOv_nZLRogR2q_QghBhnoU,39079-JACKSON 3-A
Walmart Pharmacy,45640,103,426,-60.5,"15,205","16,156",74.1,"$62,813.00 ","$82,398.00 ",100 Walmart Dr,Jackson,"100 Walmart Dr, Jackson, OH 45640, USA","39.031749,-82.6218377",45640,ChIJy6ksT7xLRogRMsntD9zfAt0,39079-FRANKLIN II
Holzer Family Pharmacy,45631,221,639,-47.9,"11,279","12,555",,"$54,772.00 ","$74,849.00 ",100 Jackson Pike,Gallipolis,"100 Jackson Pike, Gallipolis, OH 45631, USA","38.846761799999996,-82.23776579999999",45631,ChIJk-xfpxInRogR7qoIdzcNh-U,39053-GREEN TWP 1
CVS Pharmacy,45631,221,639,-47.9,"11,279","12,555",,"$54,772.00 ","$74,849.00 ",3066 OH-160,Gallipolis,"3066 OH-160, Gallipolis, OH 45631, USA","38.8447123,-82.2340935",45631,ChIJ8xJWhnInRogRcmyi4QkSZFA,39053-GREEN TWP 1
Holzer Emergency Medical Center - Gallipolis,45631,221,639,-47.9,"11,279","12,555",,"$54,772.00 ","$74,849.00 ",100 Jackson Pike,Gallipolis,"100 Jackson Pike, Gallipolis, OH 45631, USA","38.8459922,-82.2375153",45631,ChIJf99JOg0nRogR_WAaGScmoSU,39053-GREEN TWP 1
Walmart Pharmacy,45631,179,470,-44.1,"11,279","12,555",68.8,"$54,772.00 ","$74,849.00 ",2145 Eastern Ave,Gallipolis,"2145 Eastern Ave, Gallipolis, OH 45631, USA","38.8218028,-82.17235509999999",45631,ChIJJdYOlcydSIgRd-6VpRvr7xM,39053-GALLIPOLIS CITY 3
Fruth Pharmacy,45631,106,247,-39.4,"11,279","12,555",74,"$54,772.00 ","$74,849.00 ",204 2nd Ave,Gallipolis,"204 2nd Ave, Gallipolis, OH 45631, USA","38.8059,-82.2094925",45631,ChIJ971SCASeSIgRyVHAy-5hNnk,39053-GALLIPOLIS CITY 1
Fruth Pharmacy,45669,66,166,-42.6,"9,656","10,064",75.2,"$65,824.00 ","$88,557.00 ",259 State St,Proctorville,"259 State St, Proctorville, OH 45669, USA","38.4379151,-82.3800108",45669,ChIJFzObwNAHRogRVWcFUrQNWEw,39087-PROCTORVILLE
Holter Ben A,45631,221,639,-47.9,"11,279","12,555",,"$54,772.00 ","$74,849.00 ",90 Jackson Pike,Gallipolis,"90 Jackson Pike, Gallipolis, OH 45631, USA","38.8450443,-82.2382448",45631,ChIJk-xfpxInRogRCZnfLuDCqxI,39053-GREEN TWP 1
Fruth Pharmacy,45769,42,102,-41.4,"5,155","5,467",71.3,"$49,063.00 ","$61,561.00 ",706 W Main St,Pomeroy,"706 W Main St, Pomeroy, OH 45769, USA","39.0107596,-82.04513229999999",45769,ChIJuWZjOdSHSIgR89Jg7-NRGDc,39105-POMEROY 3
Swisher & Lohse Pharmacy,45769,41,118,-47.2,"5,155","5,467",78.9,"$49,063.00 ","$61,561.00 ",636 E Main St,Pomeroy,"636 E Main St, Pomeroy, OH 45769, USA","39.0305524,-82.0175971",45769,ChIJ78JCMQ2ISIgR4aaEZJsU6PY,39105-POMEROY 1
Holzer Specialty Pharmacy,45631,221,639,-47.9,"11,279","12,555",,"$54,772.00 ","$74,849.00 ",448 Jackson Pike,Gallipolis,"448 Jackson Pike, Gallipolis, OH 45631, USA","38.8442568,-82.2434112",45631,ChIJeWLD_8QnRogR-uCswFsDVbo,39053-GREEN TWP 1
CSI Pharmacy,45069,535,514,2,"52,596","55,236",77.2,"$115,539.00 ","$137,448.00 ",8868 Beckett Rd,West Chester Township,"8868 Beckett Rd, West Chester Township, OH 45069, USA","39.3341472,-84.4424251",45069,ChIJeT2x9C9PQIgRU5tRwC7oGaw,39017-WEST CHESTER TWP 29
Kroger Pharmacy,45002,184,759,-60.1,"13,986","14,647",67.9,"$84,597.00 ","$121,249.00 ",4001 Hamilton Cleves Rd,Cleves,"4001 Hamilton Cleves Rd, Cleves, OH 45002, USA","39.1721059,-84.7609028",45002,ChIJCQNtu0XNQYgRqfgJ72jw-Fc,39061-WHITEWATER A
Gold Star Pharmacies,45002,131,534,-59.8,"13,986","14,647",67.9,"$84,597.00 ","$121,249.00 ",5929 OH-128,Cleves,"5929 OH-128, Cleves, OH 45002, USA","39.204014,-84.722651",45002,ChIJmWiWoC0zQIgRM54BmaeShuY,39061-WHITEWATER C
Kroger Pharmacy,45030,246,770,-50.9,"20,700","21,160",,"$97,228.00 ","$111,855.00 ",10477 Harrison Ave,Harrison,"10477 Harrison Ave, Harrison, OH 45030, USA","39.24924620000001,-84.7913888",45030,ChIJs0Dau5gtQIgRS0SMhF3QgO8,39061-HARRISON C
Walgreens Pharmacy,45247,342,518,-20.3,"23,053","23,483",81.2,"$95,810.00 ","$118,421.00 ",5403 N Bend Rd,Cincinnati,"5403 N Bend Rd, Cincinnati, OH 45247, USA","39.1886064,-84.6022174",45247,ChIJ98iJ6Fa1QYgRtSabiZCgXpc,39061-GREEN V
Kroger Pharmacy,45248,225,503,-37.9,"22,622","23,171",,"$81,731.00 ","$103,475.00 ",5910 Harrison Ave,Cincinnati,"5910 Harrison Ave, Cincinnati, OH 45248, USA","39.1749185,-84.641536",45248,ChIJ8WC6YSzLQYgRTKIH083fBtA,39061-GREEN DD
Meijer Pharmacy,45251,264,494,-29.9,"18,882","20,456",79,"$75,620.00 ","$96,150.00 ",3711 Stone Creek Blvd,Cincinnati,"3711 Stone Creek Blvd, Cincinnati, OH 45251, USA","39.2507331,-84.603758",45251,ChIJh0z9_HNKQIgR5L5CH6N6XvU,39061-COLERAIN S
Walgreens Pharmacy,45248,293,564,-31.2,"22,622","23,171",77,"$81,731.00 ","$103,475.00 ",5508 Bridgetown Rd,Cincinnati,"5508 Bridgetown Rd, Cincinnati, OH 45248, USA","39.1581696,-84.6302353",45248,ChIJvdkqTfTKQYgRg-K8t4Exg0s,39061-GREEN I
Walgreens Pharmacy,45030,246,770,-50.9,"20,700","21,160",,"$97,228.00 ","$111,855.00 ",1032 Harrison Ave,Harrison,"1032 Harrison Ave, Harrison, OH 45030, USA","39.2578323,-84.8035812",45030,ChIJq4RwvLotQIgRFbyjZJimP1E,39061-HARRISON C
Walgreens Pharmacy,45251,264,494,-29.9,"18,882","20,456",79,"$75,620.00 ","$96,150.00 ",9775 Colerain Ave,Cincinnati,"9775 Colerain Ave, Cincinnati, OH 45251, USA","39.2490818,-84.5977011",45251,ChIJW_qCXHBKQIgRdH-4N6E93j8,39061-COLERAIN S
Brossart Pharmacy,45002,131,383,-48,"13,986","14,647",72,"$84,597.00 ","$121,249.00 ",45 S Miami Ave,Cleves,"45 S Miami Ave, Cleves, OH 45002, USA","39.1610497,-84.74960349999999",45002,ChIJqZBYLdLMQYgRpU3OCs8YGzg,39061-CLEVES A
Kroger Pharmacy,45239,320,217,18.8,"27,619","28,875",78.5,"$58,276.00 ","$69,996.00 ",3491 N Bend Rd,Cincinnati,"3491 N Bend Rd, Cincinnati, OH 45239, USA","39.1895952,-84.5988223",45239,ChIJAa9zXVG1QYgRFo_gpOignS0,39061-GREEN II
Meijer Pharmacy,45014,185,282,-20.1,"41,163","45,105",75.9,"$69,624.00 ","$91,870.00 ",6325 S Gilmore Rd,Fairfield,"6325 S Gilmore Rd, Fairfield, OH 45014, USA","39.3059923,-84.52655419999999",45014,ChIJn28HFDJJQIgR7HNAE6y2n-8,39017-FAIRFIELD CITY 3-08
Harrison Pharmacy & Wellness,45030,221,966,-62,"20,700","21,160",81.9,"$97,228.00 ","$111,855.00 ",620 Ring Rd,Harrison,"620 Ring Rd, Harrison, OH 45030, USA","39.2604471,-84.79685889999999",45030,ChIJDdlLr70tQIgRtCSLX-OZkR4,39061-HARRISON E
Walgreens Pharmacy,45212,388,303,12,"18,798","20,829",71.5,"$63,698.00 ","$82,143.00 ",4605 Montgomery Rd,Norwood,"4605 Montgomery Rd, Norwood, OH 45212, USA","39.1609476,-84.4565351",45212,ChIJh6iuqZOyQYgRxxfK0pJumN4,39061-NORWOOD 1-B
Meijer Pharmacy,45247,344,697,-33.3,"23,053","23,483",,"$95,810.00 ","$118,421.00 ",6550 Harrison Ave,Cincinnati,"6550 Harrison Ave, Cincinnati, OH 45247, USA","39.1948773,-84.6585965",45247,ChIJd3GDNjLLQYgRoylv7xoBhmo,39061-GREEN D
Kroger Pharmacy,45231,294,113,44.1,"37,279","40,172",74.9,"$69,140.00 ","$83,182.00 ",7132 Hamilton Ave,Cincinnati,"7132 Hamilton Ave, Cincinnati, OH 45231, USA","39.224497,-84.5477691",45231,ChIJWfvaBQ5LQIgRF6DmQKFg_I0,39061-NORTH COLL HILL 4-B
Kroger Pharmacy,45231,682,341,32.5,"37,279","40,172",77,"$69,140.00 ","$83,182.00 ",8421 Winton Rd,Cincinnati,"8421 Winton Rd, Cincinnati, OH 45231, USA","39.2202518,-84.5191741",45231,ChIJdS9IYpxMQIgR8AUgfVE2vbU,39061-SPRINGFIELD W
Kroger Pharmacy,45212,388,303,12,"18,798","20,829",75.4,"$63,698.00 ","$82,143.00 ",4500 Montgomery Rd,Cincinnati,"4500 Montgomery Rd, Cincinnati, OH 45212, USA","39.158700499999995,-84.4554287",45212,ChIJAWYDkJKyQYgR2tXf37HImdE,39061-NORWOOD 1-B
Kroger Pharmacy,45240,679,96,74.4,"27,484","29,373",76.1,"$66,918.00 ","$78,739.00 ",1212 W Kemper Rd,Cincinnati,"1212 W Kemper Rd, Cincinnati, OH 45240, USA","39.2900409,-84.5250535",45240,ChIJpU2jkExJQIgRJbPsAeiKqYI,39061-FOREST PARK M
Walgreens Pharmacy,45231,549,257,35.6,"37,279","40,172",74.9,"$69,140.00 ","$83,182.00 ",6918 Hamilton Ave,Cincinnati,"6918 Hamilton Ave, Cincinnati, OH 45231, USA","39.2183609,-84.54878839999999",45231,ChIJg_cTpBZLQIgR-Vz6O164r8M,39061-NORTH COLL HILL 4-A
CVS Pharmacy,45211,602,294,33.8,"33,926","36,671",76.2,"$54,582.00 ","$70,902.00 ",6150 Glenway Ave,Cincinnati,"6150 Glenway Ave, Cincinnati, OH 45211, USA","39.1451432,-84.6201131",45211,ChIJqwvwAW_KQYgRZXc62uDvNb4,39061-CINCINNATI 26-K
Walgreens Pharmacy,45213,832,102,77.4,"10,625","11,183",76.8,"$70,897.00 ","$96,142.00 ",6204 Montgomery Rd,Cincinnati,"6204 Montgomery Rd, Cincinnati, OH 45213, USA","39.1831588,-84.42494099999999",45213,ChIJgzXIM0ytQYgRpy_FmK3Yz7E,39061-CINCINNATI 14-E
Walgreens Pharmacy,45209,794,307,43.6,"10,028","10,601",75.4,"$87,841.00 ","$122,191.00 ",3822 Paxton Ave,Cincinnati,"3822 Paxton Ave, Cincinnati, OH 45209, USA","39.146217,-84.4276818",45209,ChIJzYwzq4KtQYgRKU2ib7zw47I,39061-CINCINNATI 02-K
Walgreens Pharmacy,45014,404,384,2.5,"41,163","45,105",74.9,"$69,624.00 ","$91,870.00 ",6355 Dixie Hwy,Fairfield,"6355 Dixie Hwy, Fairfield, OH 45014, USA","39.3222668,-84.5045008",45014,ChIJY7VjtyNPQIgRVbPRiXZTzX8,39017-FAIRFIELD CITY 1-02
Super Pharmacy,45216,306,104,48.4,"7,934","9,415",82.3,"$51,602.00 ","$69,697.00 ",24 Compton Rd #102,Cincinnati,"24 Compton Rd #102, Cincinnati, OH 45216, USA","39.2161654,-84.4752031",45216,ChIJ1zYa3JBNQIgRNt3Vyr0UFPA,39061-SPRINGFIELD E
Sterling Community Long-Term Care Pharmacy #02,45246,349,251,16.1,"12,450","13,707",78.5,"$70,150.00 ","$90,968.00 ",129 W Kemper Rd,Springdale,"129 W Kemper Rd, Springdale, OH 45246, USA","39.287212,-84.4724887",45246,ChIJaQEYY5FPQIgRHOGa7GYbGc0,39061-SPRINGDALE E
Walgreens Pharmacy,45227,361,230,21.8,"17,525","18,232",,"$70,614.00 ","$110,975.00 ",7398 Wooster Pike,Cincinnati,"7398 Wooster Pike, Cincinnati, OH 45227, USA","39.142553299999996,-84.3601379",45227,ChIJLWml8H2sQYgRNmj5xSIzxf8,39061-COLUMBIA G
Complete Pharmacy Solutions,45069,310,72,60.4,"52,596","55,236",,"$115,539.00 ","$137,448.00 ",9874 Windisch Rd,West Chester Township,"9874 Windisch Rd, West Chester Township, OH 45069, USA","39.3067635,-84.43181419999999",45069,ChIJPSVPXtFRQIgRDgr6Jui476w,39017-WEST CHESTER TWP 39
Walmart Pharmacy,45227,490,512,-2.2,"17,525","18,232",77.4,"$70,614.00 ","$110,975.00 ",4000 Red Bank Rd,Cincinnati,"4000 Red Bank Rd, Cincinnati, OH 45227, USA","39.1482265,-84.4020209",45227,ChIJG7-4FkGtQYgRbC3HTLIz970,39061-FAIRFAX A
Kroger Pharmacy,45150,341,386,-6.1,"31,238","32,938",78.1,"$91,780.00 ","$116,737.00 ",824 Main St,Milford,"824 Main St, Milford, OH 45150, USA","39.176201999999996,-84.280536",45150,ChIJVVVVEbKqQYgRfAUXJuPKfWc,39025-MILFORD CITY B
Kroger Pharmacy,45230,688,410,24.9,"26,049","26,701",80.1,"$87,100.00 ","$119,676.00 ",2120 Beechmont Ave,Cincinnati,"2120 Beechmont Ave, Cincinnati, OH 45230, USA","39.0935357,-84.3864584",45230,ChIJ0-_PQoWuQYgRfK8Auih1KS4,39061-CINCINNATI 01-C
Kroger Pharmacy,45209,794,307,43.6,"10,028","10,601",75.4,"$87,841.00 ","$122,191.00 ",3760 Paxton Ave,Cincinnati,"3760 Paxton Ave, Cincinnati, OH 45209, USA","39.144715,-84.4295696",45209,ChIJr7DmaoKtQYgRfjwBwcEd0WU,39061-CINCINNATI 02-K
Adrien Pharmacy,45243,543,412,13.5,"15,449","15,728",79.7,"$170,006.00 ","$286,101.00 ",7023 Miami Ave,Cincinnati,"7023 Miami Ave, Cincinnati, OH 45243, USA","39.1888147,-84.3635348",45243,ChIJqQEhFlJTQIgRdGIXpZDa0Xo,39061-MADEIRA A
Tischbein Pharmacy,45208,595,250,40,"17,242","17,695",81.4,"$133,213.00 ","$186,519.00 ",3500 Erie Ave,Cincinnati,"3500 Erie Ave, Cincinnati, OH 45208, USA","39.141261199999995,-84.4191251",45208,ChIJ0XUHO5-tQYgRV4A9EYvCK08,39061-CINCINNATI 04-B
CVS Pharmacy,45236,704,208,53.5,"22,950","24,161",76.3,"$81,990.00 ","$102,538.00 ",7314 Montgomery Rd,Cincinnati,"7314 Montgomery Rd, Cincinnati, OH 45236, USA","39.1931946,-84.3996252",45236,ChIJxeo-7tZSQIgRdyF12t80oEo,39061-SILVERTON C
CVS Pharmacy,45209,833,283,48.1,"10,028","10,601",,"$87,841.00 ","$122,191.00 ",4825 Marburg Ave Unit A,Cincinnati,"4825 Marburg Ave Unit A, Cincinnati, OH 45209, USA","39.1614764,-84.4250709",45209,ChIJsXHZ2W6tQYgRXK1yJgHs1SI,39061-CINCINNATI 02-C
CVS Pharmacy,45208,813,471,26.2,"17,242","17,695",84.8,"$133,213.00 ","$186,519.00 ",3197 Linwood Ave,Cincinnati,"3197 Linwood Ave, Cincinnati, OH 45208, USA","39.1287404,-84.4307604",45208,ChIJ_dc2UIytQYgR1Ywmj2QP7jI,39061-CINCINNATI 05-I
CVS Pharmacy,45209,821,380,36.1,"10,028","10,601",75.4,"$87,841.00 ","$122,191.00 ",3086 Madison Rd,Cincinnati,"3086 Madison Rd, Cincinnati, OH 45209, USA","39.153269,-84.4314254",45209,ChIJa1FeJCqtQYgRLlNSMiEdDIA,39061-CINCINNATI 02-J
CVS Pharmacy,45150,221,229,-1.7,"31,238","32,938",82.8,"$91,780.00 ","$116,737.00 ",100 Rivers Edge Dr,Milford,"100 Rivers Edge Dr, Milford, OH 45150, USA","39.162597399999996,-84.2751186",45150,ChIJ-W8Df6GqQYgR5KNftgJzB6U,39025-MILFORD CITY E
Walgreens Pharmacy,45236,474,586,-10.4,"22,950","24,161",71.6,"$81,990.00 ","$102,538.00 ",4090 E Galbraith Rd,Deer Park,"4090 E Galbraith Rd, Deer Park, OH 45236, USA","39.2094498,-84.3994135",45236,ChIJUwYE_eBSQIgRTeWrZSM3SZE,39061-SYCAMORE C
Milford Pharmacy & Wellness Center,45150,220,449,-33.8,"31,238","32,938",,"$91,780.00 ","$116,737.00 ",931 OH-28 #205,Milford,"931 OH-28 #205, Milford, OH 45150, USA","39.19104050000001,-84.2515901",45150,ChIJY4sGKxwAQYgRTUlvEDqL7vY,39025-MIAMI TWP T
Roselawn Pharmacy,45237,607,42,86.5,"19,822","20,826",71.5,"$43,598.00 ","$62,400.00 ",7601 Reading Rd,Cincinnati,"7601 Reading Rd, Cincinnati, OH 45237, USA","39.1991005,-84.4581146",45237,ChIJp55WckhNQIgRC16l2tHntMs,39061-CINCINNATI 07-K
CVS Pharmacy,45212,384,399,-1.9,"18,798","20,829",73.3,"$63,698.00 ","$82,143.00 ",5229 Montgomery Rd,Norwood,"5229 Montgomery Rd, Norwood, OH 45212, USA","39.1707799,-84.4495395",45212,ChIJXYCF2byyQYgRN9vXgxjRbhg,39061-NORWOOD 4-C
Walgreens Pharmacy,45242,425,431,-0.7,"21,474","21,882",78.4,"$120,869.00 ","$170,896.00 ",9580 Kenwood Rd,Blue Ash,"9580 Kenwood Rd, Blue Ash, OH 45242, USA","39.2314387,-84.3765694",45242,ChIJV5n19KFTQIgRyHPKoBF4Ihk,39061-BLUE ASH 2-A
Meijer Pharmacy,45150,240,486,-33.3,"31,238","32,938",76.3,"$91,780.00 ","$116,737.00 ",1082 State Rte 28,Milford,"1082 State Rte 28, Milford, OH 45150, USA","39.1969782,-84.2365714",45150,ChIJO5BSZ8j_QIgRG8dsoPyu430,39025-MIAMI TWP H
Walgreens Pharmacy,45140,436,541,-10.5,"13,254","14,153",,"$107,227.00 ","$162,586.00 ",9520 Fields Ertel Rd,Loveland,"9520 Fields Ertel Rd, Loveland, OH 45140, USA","39.291142099999995,-84.2975601",45249,ChIJ42m9FERWQIgR2YD-vHWrD2Q,39061-SYMMES J
Walgreens Pharmacy,45150,190,412,-36,"31,238","32,938",75.9,"$91,780.00 ","$116,737.00 ",1243 State Rte 28,Milford,"1243 State Rte 28, Milford, OH 45150, USA","39.201484099999995,-84.2221601",45150,ChIJncgQe0n-QIgRANZp4a2OE0Q,39025-MIAMI TWP D
Kroger Pharmacy,45243,444,462,-2,"15,449","15,728",79.7,"$170,006.00 ","$286,101.00 ",6950 Miami Ave,Cincinnati,"6950 Miami Ave, Cincinnati, OH 45243, USA","39.1880346,-84.3614578",45243,ChIJrd6QsVNTQIgRFt6QP4Icclc,39061-MADEIRA F
Meijer Pharmacy,45209,833,283,48.1,"10,028","10,601",,"$87,841.00 ","$122,191.00 ",3195 Geier Dr,Cincinnati,"3195 Geier Dr, Cincinnati, OH 45209, USA","39.162051999999996,-84.4269676",45209,ChIJsXHZ2W6tQYgRzwt8ia6y8u0,39061-CINCINNATI 02-C
Walmart Pharmacy,45150,421,677,-23,"31,238","32,938",82.8,"$91,780.00 ","$116,737.00 ",201 Chamber Dr,Milford,"201 Chamber Dr, Milford, OH 45150, USA","39.159445,-84.2802188",45150,ChIJHf74BZiqQYgRPkGvyq19Brc,39025-UNION TWP F1F
Walgreens Pharmacy,45243,291,346,-8.5,"15,449","15,728",79.7,"$170,006.00 ","$286,101.00 ",6901 Miami Ave,Madeira,"6901 Miami Ave, Madeira, OH 45243, USA","39.1861876,-84.36405719999999",45243,ChIJdSdFmVJTQIgR-DQtugEl8lo,39061-MADEIRA B
Kroger Pharmacy,45140,389,728,-29.8,"54,861","56,473",82.5,"$110,781.00 ","$146,621.00 ",6388 Branch Hill-Guinea Pike,Loveland,"6388 Branch Hill-Guinea Pike, Loveland, OH 45140, USA","39.2297195,-84.25389779999999",45140,ChIJ5S-Z1XP_QIgRHueuGeJm2OA,39025-MIAMI TWP N1N
Walgreens Pharmacy,45241,480,494,-1.4,"21,977","23,234",81.1,"$94,943.00 ","$135,913.00 ",3105 Glendale Milford Rd,Cincinnati,"3105 Glendale Milford Rd, Cincinnati, OH 45241, USA","39.2534506,-84.4220813",45241,ChIJyb5NcxRSQIgRTD_sI-aGmBo,39061-EVENDALE A
Group Health Anderson Pharmacy,45230,518,484,3.4,"21,710","22,682",79.5,"$88,694.00 ","$127,587.00 ",7810 Five Mile Rd,Cincinnati,"7810 Five Mile Rd, Cincinnati, OH 45230, USA","39.0776781,-84.35142280000001",45255,ChIJZ7pT7x-pQYgRtJX-ETxgoBk,39061-ANDERSON FF
Kroger Pharmacy,45249,585,462,11.5,"13,254","14,153",88.2,"$107,227.00 ","$162,586.00 ",11390 Montgomery Rd,Cincinnati,"11390 Montgomery Rd, Cincinnati, OH 45249, USA","39.271476,-84.3259075",45249,ChIJc5hFxZtWQIgRQBXNRXC2KaI,39061-SYMMES F
Walgreens Pharmacy,45231,658,397,24.3,"37,279","40,172",77,"$69,140.00 ","$83,182.00 ",8210 Winton Rd,Cincinnati,"8210 Winton Rd, Cincinnati, OH 45231, USA","39.2164366,-84.51758869999999",45231,ChIJX0RyyJ5MQIgRAwbw3hsMAMw,39061-SPRINGFIELD U
Meijer Pharmacy,45140,350,491,-16.5,"54,861","56,473",,"$110,781.00 ","$146,621.00 ",3911 W SR 22-3,Loveland,"3911 W SR 22-3, Loveland, OH 45140, USA","39.2924362,-84.2926341",45140,ChIJkWVhzDJWQIgRIQ9TDdDbLbc,39165-DEERFIELD TWP BB
Harness Health Pharmacy - Anderson,45255,489,472,1.7,"21,710","22,682",79.5,"$88,694.00 ","$127,587.00 ",7500 State Rd,Cincinnati,"7500 State Rd, Cincinnati, OH 45255, USA","39.0856888,-84.3490482",45255,ChIJhZU_726pQYgReSDnHwYL5Uc,39061-ANDERSON AA
Dorsey's Rexall Drugs,45107,115,486,-60.5,"9,004","9,640",73.9,"$65,625.00 ","$82,952.00 ",,Blanchester,"Blanchester, OH 45107, USA","39.2933866,-83.9883878",45107,ChIJa34TEFnmQIgRQszYf0UALpU,39027-BLANCHESTER A
Barr's Pharmacy of Hillsboro,45133,131,320,-40.7,"21,046","23,260",73.9,"$58,813.00 ","$71,667.00 ",119 S High St,Hillsboro,"119 S High St, Hillsboro, OH 45133, USA","39.2016966,-83.6118918",45133,ChIJr5dFOcLUQIgRrxGcm46emOM,39071-HILLSBORO 4 SWA
Kroger Pharmacy,45133,245,559,-38.4,"21,046","23,260",73.9,"$58,813.00 ","$71,667.00 ",575 Harry Sauner Rd,Hillsboro,"575 Harry Sauner Rd, Hillsboro, OH 45133, USA","39.224684,-83.6193225",45133,ChIJ8fdjGpzUQIgRTFbONYRbxuk,39071-HILLSBORO 2 NW
Kroger Pharmacy,45107,103,622,-70.5,"9,004","9,640",73.9,"$65,625.00 ","$82,952.00 ",1001 Cherry St,Blanchester,"1001 Cherry St, Blanchester, OH 45107, USA","39.301318699999996,-83.96091",45107,ChIJec01A7vnQIgRe3u6urs0s_0,39027-MARION
Walgreens Pharmacy,45140,216,369,-25.9,"54,861","56,473",78.1,"$110,781.00 ","$146,621.00 ",6385 Branch Hill-Guinea Pike,Loveland,"6385 Branch Hill-Guinea Pike, Loveland, OH 45140, USA","39.228474899999995,-84.2565711",45140,ChIJ847MAHH_QIgRmVF8PcKjWP4,39025-MIAMI TWP Q
